"","Units","scenario","region","gcam-consumer","nodeinput","input","year","value","Scenario","climate"
"1","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.684162,"GCAM","None"
"2","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.643759,"GCAM","None"
"3","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.712099,"GCAM","None"
"4","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.812066,"GCAM","None"
"5","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.765872,"GCAM","None"
"6","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.794822,"GCAM","None"
"7","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.844187,"GCAM","None"
"8","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.922668,"GCAM","None"
"9","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,1.00752,"GCAM","None"
"10","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,1.10382,"GCAM","None"
"11","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,1.21011,"GCAM","None"
"12","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,1.32442,"GCAM","None"
"13","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,1.44216,"GCAM","None"
"14","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,1.56338,"GCAM","None"
"15","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,1.68491,"GCAM","None"
"16","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,1.80438,"GCAM","None"
"17","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,1.91927,"GCAM","None"
"18","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,2.02795,"GCAM","None"
"19","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,2.12965,"GCAM","None"
"20","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,2.22409,"GCAM","None"
"21","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,2.31091,"GCAM","None"
"22","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,2.39021,"GCAM","None"
"23","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,1.31607,"GCAM","None"
"24","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,1.2659,"GCAM","None"
"25","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,1.30136,"GCAM","None"
"26","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,1.3294,"GCAM","None"
"27","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,1.39545,"GCAM","None"
"28","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,1.38789,"GCAM","None"
"29","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,1.3713,"GCAM","None"
"30","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,1.34028,"GCAM","None"
"31","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,1.30497,"GCAM","None"
"32","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,1.26643,"GCAM","None"
"33","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,1.22758,"GCAM","None"
"34","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,1.19072,"GCAM","None"
"35","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,1.15726,"GCAM","None"
"36","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,1.12756,"GCAM","None"
"37","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,1.1018,"GCAM","None"
"38","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,1.0798,"GCAM","None"
"39","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,1.06127,"GCAM","None"
"40","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,1.04574,"GCAM","None"
"41","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,1.03274,"GCAM","None"
"42","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,1.02183,"GCAM","None"
"43","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,1.01268,"GCAM","None"
"44","Kcal/per/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,1.00498,"GCAM","None"
"45","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.548618,"GCAM","None"
"46","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.703732,"GCAM","None"
"47","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.904899,"GCAM","None"
"48","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,1.08624,"GCAM","None"
"49","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,1.196,"GCAM","None"
"50","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,1.28174,"GCAM","None"
"51","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,1.36366,"GCAM","None"
"52","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,1.4691,"GCAM","None"
"53","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,1.56505,"GCAM","None"
"54","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,1.65324,"GCAM","None"
"55","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,1.73445,"GCAM","None"
"56","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,1.81057,"GCAM","None"
"57","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,1.88026,"GCAM","None"
"58","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,1.94733,"GCAM","None"
"59","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,2.01079,"GCAM","None"
"60","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,2.06967,"GCAM","None"
"61","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,2.12364,"GCAM","None"
"62","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,2.17296,"GCAM","None"
"63","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,2.21836,"GCAM","None"
"64","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,2.26046,"GCAM","None"
"65","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,2.29969,"GCAM","None"
"66","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,2.33598,"GCAM","None"
"67","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,1.83829,"GCAM","None"
"68","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,2.24666,"GCAM","None"
"69","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,2.27167,"GCAM","None"
"70","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,2.16348,"GCAM","None"
"71","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,2.05667,"GCAM","None"
"72","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,2.03689,"GCAM","None"
"73","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,2.01951,"GCAM","None"
"74","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,1.9995,"GCAM","None"
"75","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,1.98327,"GCAM","None"
"76","Kcal/per/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,1.9697,"GCAM","None"
