"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"1","None Specified","Reference","Africa_Eastern","FoodDemand",1975,0.31443,"GCAM","None"
"2","None Specified","Reference","Africa_Eastern","FoodDemand",1990,0.321787,"GCAM","None"
"3","None Specified","Reference","Africa_Eastern","FoodDemand",2005,0.385735,"GCAM","None"
"4","None Specified","Reference","Africa_Eastern","FoodDemand",2010,0.467632,"GCAM","None"
"5","None Specified","Reference","Africa_Eastern","FoodDemand",2015,0.518454,"GCAM","None"
"6","None Specified","Reference","Africa_Eastern","FoodDemand",2020,0.571069,"GCAM","None"
"7","None Specified","Reference","Africa_Eastern","FoodDemand",2025,0.657897,"GCAM","None"
"8","None Specified","Reference","Africa_Eastern","FoodDemand",2030,0.805549,"GCAM","None"
"9","None Specified","Reference","Africa_Eastern","FoodDemand",2035,0.985587,"GCAM","None"
"10","None Specified","Reference","Africa_Eastern","FoodDemand",2040,1.21854,"GCAM","None"
"11","None Specified","Reference","Africa_Eastern","FoodDemand",2045,1.51636,"GCAM","None"
"12","None Specified","Reference","Africa_Eastern","FoodDemand",2050,1.89117,"GCAM","None"
"13","None Specified","Reference","Africa_Eastern","FoodDemand",2055,2.35779,"GCAM","None"
"14","None Specified","Reference","Africa_Eastern","FoodDemand",2060,2.9327,"GCAM","None"
"15","None Specified","Reference","Africa_Eastern","FoodDemand",2065,3.63194,"GCAM","None"
"16","None Specified","Reference","Africa_Eastern","FoodDemand",2070,4.47042,"GCAM","None"
"17","None Specified","Reference","Africa_Eastern","FoodDemand",2075,5.4597,"GCAM","None"
"18","None Specified","Reference","Africa_Eastern","FoodDemand",2080,6.61124,"GCAM","None"
"19","None Specified","Reference","Africa_Eastern","FoodDemand",2085,7.93756,"GCAM","None"
"20","None Specified","Reference","Africa_Eastern","FoodDemand",2090,9.45169,"GCAM","None"
"21","None Specified","Reference","Africa_Eastern","FoodDemand",2095,11.1605,"GCAM","None"
"22","None Specified","Reference","Africa_Eastern","FoodDemand",2100,13.0664,"GCAM","None"
"23","None Specified","Reference","Africa_Northern","FoodDemand",1975,1.04436,"GCAM","None"
"24","None Specified","Reference","Africa_Northern","FoodDemand",1990,1.5918,"GCAM","None"
"25","None Specified","Reference","Africa_Northern","FoodDemand",2005,1.99972,"GCAM","None"
"26","None Specified","Reference","Africa_Northern","FoodDemand",2010,2.30295,"GCAM","None"
"27","None Specified","Reference","Africa_Northern","FoodDemand",2015,2.26218,"GCAM","None"
"28","None Specified","Reference","Africa_Northern","FoodDemand",2020,2.62091,"GCAM","None"
"29","None Specified","Reference","Africa_Northern","FoodDemand",2025,3.02278,"GCAM","None"
"30","None Specified","Reference","Africa_Northern","FoodDemand",2030,3.62116,"GCAM","None"
"31","None Specified","Reference","Africa_Northern","FoodDemand",2035,4.26457,"GCAM","None"
"32","None Specified","Reference","Africa_Northern","FoodDemand",2040,4.96482,"GCAM","None"
"33","None Specified","Reference","Africa_Northern","FoodDemand",2045,5.72528,"GCAM","None"
"34","None Specified","Reference","Africa_Northern","FoodDemand",2050,6.54999,"GCAM","None"
"35","None Specified","Reference","Africa_Northern","FoodDemand",2055,7.46229,"GCAM","None"
"36","None Specified","Reference","Africa_Northern","FoodDemand",2060,8.47714,"GCAM","None"
"37","None Specified","Reference","Africa_Northern","FoodDemand",2065,9.5929,"GCAM","None"
"38","None Specified","Reference","Africa_Northern","FoodDemand",2070,10.7824,"GCAM","None"
"39","None Specified","Reference","Africa_Northern","FoodDemand",2075,12.0352,"GCAM","None"
"40","None Specified","Reference","Africa_Northern","FoodDemand",2080,13.3478,"GCAM","None"
"41","None Specified","Reference","Africa_Northern","FoodDemand",2085,14.7271,"GCAM","None"
"42","None Specified","Reference","Africa_Northern","FoodDemand",2090,16.1757,"GCAM","None"
"43","None Specified","Reference","Africa_Northern","FoodDemand",2095,17.6989,"GCAM","None"
"44","None Specified","Reference","Africa_Northern","FoodDemand",2100,19.2797,"GCAM","None"
"45","None Specified","Reference","Africa_Southern","FoodDemand",1975,0.537213,"GCAM","None"
"46","None Specified","Reference","Africa_Southern","FoodDemand",1990,0.513679,"GCAM","None"
"47","None Specified","Reference","Africa_Southern","FoodDemand",2005,0.65223,"GCAM","None"
"48","None Specified","Reference","Africa_Southern","FoodDemand",2010,0.863204,"GCAM","None"
"49","None Specified","Reference","Africa_Southern","FoodDemand",2015,0.968488,"GCAM","None"
"50","None Specified","Reference","Africa_Southern","FoodDemand",2020,0.960547,"GCAM","None"
"51","None Specified","Reference","Africa_Southern","FoodDemand",2025,1.05567,"GCAM","None"
"52","None Specified","Reference","Africa_Southern","FoodDemand",2030,1.20849,"GCAM","None"
"53","None Specified","Reference","Africa_Southern","FoodDemand",2035,1.37742,"GCAM","None"
"54","None Specified","Reference","Africa_Southern","FoodDemand",2040,1.60302,"GCAM","None"
"55","None Specified","Reference","Africa_Southern","FoodDemand",2045,1.90638,"GCAM","None"
"56","None Specified","Reference","Africa_Southern","FoodDemand",2050,2.30035,"GCAM","None"
"57","None Specified","Reference","Africa_Southern","FoodDemand",2055,2.79945,"GCAM","None"
"58","None Specified","Reference","Africa_Southern","FoodDemand",2060,3.41605,"GCAM","None"
"59","None Specified","Reference","Africa_Southern","FoodDemand",2065,4.16321,"GCAM","None"
"60","None Specified","Reference","Africa_Southern","FoodDemand",2070,5.054,"GCAM","None"
"61","None Specified","Reference","Africa_Southern","FoodDemand",2075,6.10054,"GCAM","None"
"62","None Specified","Reference","Africa_Southern","FoodDemand",2080,7.31431,"GCAM","None"
"63","None Specified","Reference","Africa_Southern","FoodDemand",2085,8.70597,"GCAM","None"
"64","None Specified","Reference","Africa_Southern","FoodDemand",2090,10.2922,"GCAM","None"
"65","None Specified","Reference","Africa_Southern","FoodDemand",2095,12.0816,"GCAM","None"
"66","None Specified","Reference","Africa_Southern","FoodDemand",2100,14.0822,"GCAM","None"
"67","None Specified","Reference","Africa_Western","FoodDemand",1975,0.859179,"GCAM","None"
"68","None Specified","Reference","Africa_Western","FoodDemand",1990,0.699672,"GCAM","None"
"69","None Specified","Reference","Africa_Western","FoodDemand",2005,0.812442,"GCAM","None"
"70","None Specified","Reference","Africa_Western","FoodDemand",2010,0.947195,"GCAM","None"
"71","None Specified","Reference","Africa_Western","FoodDemand",2015,1.04564,"GCAM","None"
"72","None Specified","Reference","Africa_Western","FoodDemand",2020,1.05166,"GCAM","None"
"73","None Specified","Reference","Africa_Western","FoodDemand",2025,1.15221,"GCAM","None"
"74","None Specified","Reference","Africa_Western","FoodDemand",2030,1.4206,"GCAM","None"
"75","None Specified","Reference","Africa_Western","FoodDemand",2035,1.73656,"GCAM","None"
