"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"76","None Specified","Reference","Africa_Western","FoodDemand",2040,2.12715,"GCAM","None"
"77","None Specified","Reference","Africa_Western","FoodDemand",2045,2.61009,"GCAM","None"
"78","None Specified","Reference","Africa_Western","FoodDemand",2050,3.20284,"GCAM","None"
"79","None Specified","Reference","Africa_Western","FoodDemand",2055,3.93841,"GCAM","None"
"80","None Specified","Reference","Africa_Western","FoodDemand",2060,4.83567,"GCAM","None"
"81","None Specified","Reference","Africa_Western","FoodDemand",2065,5.90585,"GCAM","None"
"82","None Specified","Reference","Africa_Western","FoodDemand",2070,7.16347,"GCAM","None"
"83","None Specified","Reference","Africa_Western","FoodDemand",2075,8.61922,"GCAM","None"
"84","None Specified","Reference","Africa_Western","FoodDemand",2080,10.2802,"GCAM","None"
"85","None Specified","Reference","Africa_Western","FoodDemand",2085,12.1553,"GCAM","None"
"86","None Specified","Reference","Africa_Western","FoodDemand",2090,14.2518,"GCAM","None"
"87","None Specified","Reference","Africa_Western","FoodDemand",2095,16.5626,"GCAM","None"
"88","None Specified","Reference","Africa_Western","FoodDemand",2100,19.0757,"GCAM","None"
"89","None Specified","Reference","Argentina","FoodDemand",1975,5.29471,"GCAM","None"
"90","None Specified","Reference","Argentina","FoodDemand",1990,3.95815,"GCAM","None"
"91","None Specified","Reference","Argentina","FoodDemand",2005,5.69681,"GCAM","None"
"92","None Specified","Reference","Argentina","FoodDemand",2010,6.87947,"GCAM","None"
"93","None Specified","Reference","Argentina","FoodDemand",2015,7.0279,"GCAM","None"
"94","None Specified","Reference","Argentina","FoodDemand",2020,6.70896,"GCAM","None"
"95","None Specified","Reference","Argentina","FoodDemand",2025,7.69205,"GCAM","None"
"96","None Specified","Reference","Argentina","FoodDemand",2030,8.7296,"GCAM","None"
"97","None Specified","Reference","Argentina","FoodDemand",2035,9.79748,"GCAM","None"
"98","None Specified","Reference","Argentina","FoodDemand",2040,10.8544,"GCAM","None"
"99","None Specified","Reference","Argentina","FoodDemand",2045,11.909,"GCAM","None"
"100","None Specified","Reference","Argentina","FoodDemand",2050,13.0165,"GCAM","None"
"101","None Specified","Reference","Argentina","FoodDemand",2055,14.1944,"GCAM","None"
"102","None Specified","Reference","Argentina","FoodDemand",2060,15.4395,"GCAM","None"
"103","None Specified","Reference","Argentina","FoodDemand",2065,16.7382,"GCAM","None"
"104","None Specified","Reference","Argentina","FoodDemand",2070,18.0875,"GCAM","None"
"105","None Specified","Reference","Argentina","FoodDemand",2075,19.4709,"GCAM","None"
"106","None Specified","Reference","Argentina","FoodDemand",2080,20.916,"GCAM","None"
"107","None Specified","Reference","Argentina","FoodDemand",2085,22.4167,"GCAM","None"
"108","None Specified","Reference","Argentina","FoodDemand",2090,23.9815,"GCAM","None"
"109","None Specified","Reference","Argentina","FoodDemand",2095,25.6029,"GCAM","None"
"110","None Specified","Reference","Argentina","FoodDemand",2100,27.267,"GCAM","None"
"111","None Specified","Reference","Australia_NZ","FoodDemand",1975,17.5212,"GCAM","None"
"112","None Specified","Reference","Australia_NZ","FoodDemand",1990,23.3499,"GCAM","None"
"113","None Specified","Reference","Australia_NZ","FoodDemand",2005,31.7869,"GCAM","None"
"114","None Specified","Reference","Australia_NZ","FoodDemand",2010,33.2816,"GCAM","None"
"115","None Specified","Reference","Australia_NZ","FoodDemand",2015,35.512,"GCAM","None"
"116","None Specified","Reference","Australia_NZ","FoodDemand",2020,37.6669,"GCAM","None"
"117","None Specified","Reference","Australia_NZ","FoodDemand",2025,40.2365,"GCAM","None"
"118","None Specified","Reference","Australia_NZ","FoodDemand",2030,42.6662,"GCAM","None"
"119","None Specified","Reference","Australia_NZ","FoodDemand",2035,45.0299,"GCAM","None"
"120","None Specified","Reference","Australia_NZ","FoodDemand",2040,47.5147,"GCAM","None"
"121","None Specified","Reference","Australia_NZ","FoodDemand",2045,50.1803,"GCAM","None"
"122","None Specified","Reference","Australia_NZ","FoodDemand",2050,52.7474,"GCAM","None"
"123","None Specified","Reference","Australia_NZ","FoodDemand",2055,55.3683,"GCAM","None"
"124","None Specified","Reference","Australia_NZ","FoodDemand",2060,58.3906,"GCAM","None"
"125","None Specified","Reference","Australia_NZ","FoodDemand",2065,61.8476,"GCAM","None"
"126","None Specified","Reference","Australia_NZ","FoodDemand",2070,65.616,"GCAM","None"
"127","None Specified","Reference","Australia_NZ","FoodDemand",2075,69.4961,"GCAM","None"
"128","None Specified","Reference","Australia_NZ","FoodDemand",2080,73.5487,"GCAM","None"
"129","None Specified","Reference","Australia_NZ","FoodDemand",2085,77.7556,"GCAM","None"
"130","None Specified","Reference","Australia_NZ","FoodDemand",2090,82.2688,"GCAM","None"
"131","None Specified","Reference","Australia_NZ","FoodDemand",2095,87.2429,"GCAM","None"
"132","None Specified","Reference","Australia_NZ","FoodDemand",2100,92.686,"GCAM","None"
"133","None Specified","Reference","Brazil","FoodDemand",1975,4.46924,"GCAM","None"
"134","None Specified","Reference","Brazil","FoodDemand",1990,5.28111,"GCAM","None"
"135","None Specified","Reference","Brazil","FoodDemand",2005,6.29041,"GCAM","None"
"136","None Specified","Reference","Brazil","FoodDemand",2010,7.4451,"GCAM","None"
"137","None Specified","Reference","Brazil","FoodDemand",2015,7.54278,"GCAM","None"
"138","None Specified","Reference","Brazil","FoodDemand",2020,7.51691,"GCAM","None"
"139","None Specified","Reference","Brazil","FoodDemand",2025,8.19887,"GCAM","None"
"140","None Specified","Reference","Brazil","FoodDemand",2030,9.13204,"GCAM","None"
"141","None Specified","Reference","Brazil","FoodDemand",2035,10.033,"GCAM","None"
"142","None Specified","Reference","Brazil","FoodDemand",2040,10.9907,"GCAM","None"
"143","None Specified","Reference","Brazil","FoodDemand",2045,11.9946,"GCAM","None"
"144","None Specified","Reference","Brazil","FoodDemand",2050,13.0446,"GCAM","None"
"145","None Specified","Reference","Brazil","FoodDemand",2055,14.2005,"GCAM","None"
"146","None Specified","Reference","Brazil","FoodDemand",2060,15.4582,"GCAM","None"
"147","None Specified","Reference","Brazil","FoodDemand",2065,16.7854,"GCAM","None"
"148","None Specified","Reference","Brazil","FoodDemand",2070,18.2116,"GCAM","None"
"149","None Specified","Reference","Brazil","FoodDemand",2075,19.7953,"GCAM","None"
"150","None Specified","Reference","Brazil","FoodDemand",2080,21.4853,"GCAM","None"
"151","None Specified","Reference","Brazil","FoodDemand",2085,23.2852,"GCAM","None"
"152","None Specified","Reference","Brazil","FoodDemand",2090,25.2083,"GCAM","None"
"153","None Specified","Reference","Brazil","FoodDemand",2095,27.2758,"GCAM","None"
"154","None Specified","Reference","Brazil","FoodDemand",2100,29.4921,"GCAM","None"
"155","None Specified","Reference","Canada","FoodDemand",1975,18.5079,"GCAM","None"
"156","None Specified","Reference","Canada","FoodDemand",1990,24.2897,"GCAM","None"
"157","None Specified","Reference","Canada","FoodDemand",2005,31.2679,"GCAM","None"
"158","None Specified","Reference","Canada","FoodDemand",2010,31.1692,"GCAM","None"
"159","None Specified","Reference","Canada","FoodDemand",2015,33.0052,"GCAM","None"
"160","None Specified","Reference","Canada","FoodDemand",2020,34.3638,"GCAM","None"
"161","None Specified","Reference","Canada","FoodDemand",2025,35.6437,"GCAM","None"
"162","None Specified","Reference","Canada","FoodDemand",2030,37.5172,"GCAM","None"
"163","None Specified","Reference","Canada","FoodDemand",2035,39.7046,"GCAM","None"
"164","None Specified","Reference","Canada","FoodDemand",2040,42.0482,"GCAM","None"
"165","None Specified","Reference","Canada","FoodDemand",2045,44.3188,"GCAM","None"
"166","None Specified","Reference","Canada","FoodDemand",2050,46.4014,"GCAM","None"
"167","None Specified","Reference","Canada","FoodDemand",2055,48.4305,"GCAM","None"
"168","None Specified","Reference","Canada","FoodDemand",2060,50.6992,"GCAM","None"
"169","None Specified","Reference","Canada","FoodDemand",2065,53.4268,"GCAM","None"
"170","None Specified","Reference","Canada","FoodDemand",2070,56.5181,"GCAM","None"
"171","None Specified","Reference","Canada","FoodDemand",2075,59.8019,"GCAM","None"
"172","None Specified","Reference","Canada","FoodDemand",2080,63.3107,"GCAM","None"
"173","None Specified","Reference","Canada","FoodDemand",2085,67.0049,"GCAM","None"
"174","None Specified","Reference","Canada","FoodDemand",2090,70.9616,"GCAM","None"
"175","None Specified","Reference","Canada","FoodDemand",2095,75.352,"GCAM","None"
"176","None Specified","Reference","Canada","FoodDemand",2100,80.2409,"GCAM","None"
"177","None Specified","Reference","Central America and Caribbean","FoodDemand",1975,1.70751,"GCAM","None"
"178","None Specified","Reference","Central America and Caribbean","FoodDemand",1990,1.89643,"GCAM","None"
"179","None Specified","Reference","Central America and Caribbean","FoodDemand",2005,2.35629,"GCAM","None"
"180","None Specified","Reference","Central America and Caribbean","FoodDemand",2010,2.70281,"GCAM","None"
"181","None Specified","Reference","Central America and Caribbean","FoodDemand",2015,3.04163,"GCAM","None"
"182","None Specified","Reference","Central America and Caribbean","FoodDemand",2020,3.32313,"GCAM","None"
"183","None Specified","Reference","Central America and Caribbean","FoodDemand",2025,3.73495,"GCAM","None"
"184","None Specified","Reference","Central America and Caribbean","FoodDemand",2030,4.27975,"GCAM","None"
"185","None Specified","Reference","Central America and Caribbean","FoodDemand",2035,4.88449,"GCAM","None"
"186","None Specified","Reference","Central America and Caribbean","FoodDemand",2040,5.58842,"GCAM","None"
"187","None Specified","Reference","Central America and Caribbean","FoodDemand",2045,6.4009,"GCAM","None"
"188","None Specified","Reference","Central America and Caribbean","FoodDemand",2050,7.32319,"GCAM","None"
"189","None Specified","Reference","Central America and Caribbean","FoodDemand",2055,8.3681,"GCAM","None"
"190","None Specified","Reference","Central America and Caribbean","FoodDemand",2060,9.55079,"GCAM","None"
"191","None Specified","Reference","Central America and Caribbean","FoodDemand",2065,10.8756,"GCAM","None"
"192","None Specified","Reference","Central America and Caribbean","FoodDemand",2070,12.3512,"GCAM","None"
"193","None Specified","Reference","Central America and Caribbean","FoodDemand",2075,13.9894,"GCAM","None"
"194","None Specified","Reference","Central America and Caribbean","FoodDemand",2080,15.799,"GCAM","None"
"195","None Specified","Reference","Central America and Caribbean","FoodDemand",2085,17.7898,"GCAM","None"
"196","None Specified","Reference","Central America and Caribbean","FoodDemand",2090,19.9585,"GCAM","None"
"197","None Specified","Reference","Central America and Caribbean","FoodDemand",2095,22.3048,"GCAM","None"
"198","None Specified","Reference","Central America and Caribbean","FoodDemand",2100,24.8225,"GCAM","None"
"199","None Specified","Reference","Central Asia","FoodDemand",1975,1.59219,"GCAM","None"
"200","None Specified","Reference","Central Asia","FoodDemand",1990,1.84246,"GCAM","None"
"201","None Specified","Reference","Central Asia","FoodDemand",2005,1.75317,"GCAM","None"
"202","None Specified","Reference","Central Asia","FoodDemand",2010,2.43636,"GCAM","None"
"203","None Specified","Reference","Central Asia","FoodDemand",2015,2.93704,"GCAM","None"
"204","None Specified","Reference","Central Asia","FoodDemand",2020,3.41973,"GCAM","None"
"205","None Specified","Reference","Central Asia","FoodDemand",2025,4.11726,"GCAM","None"
"206","None Specified","Reference","Central Asia","FoodDemand",2030,4.97,"GCAM","None"
"207","None Specified","Reference","Central Asia","FoodDemand",2035,5.81625,"GCAM","None"
"208","None Specified","Reference","Central Asia","FoodDemand",2040,6.64168,"GCAM","None"
"209","None Specified","Reference","Central Asia","FoodDemand",2045,7.42153,"GCAM","None"
"210","None Specified","Reference","Central Asia","FoodDemand",2050,8.13133,"GCAM","None"
"211","None Specified","Reference","Central Asia","FoodDemand",2055,8.84202,"GCAM","None"
"212","None Specified","Reference","Central Asia","FoodDemand",2060,9.64497,"GCAM","None"
"213","None Specified","Reference","Central Asia","FoodDemand",2065,10.5679,"GCAM","None"
"214","None Specified","Reference","Central Asia","FoodDemand",2070,11.5518,"GCAM","None"
"215","None Specified","Reference","Central Asia","FoodDemand",2075,12.542,"GCAM","None"
"216","None Specified","Reference","Central Asia","FoodDemand",2080,13.5766,"GCAM","None"
"217","None Specified","Reference","Central Asia","FoodDemand",2085,14.6732,"GCAM","None"
"218","None Specified","Reference","Central Asia","FoodDemand",2090,15.845,"GCAM","None"
"219","None Specified","Reference","Central Asia","FoodDemand",2095,17.0851,"GCAM","None"
"220","None Specified","Reference","Central Asia","FoodDemand",2100,18.3644,"GCAM","None"
"221","None Specified","Reference","China","FoodDemand",1975,0.196254,"GCAM","None"
"222","None Specified","Reference","China","FoodDemand",1990,0.524798,"GCAM","None"
"223","None Specified","Reference","China","FoodDemand",2005,1.86118,"GCAM","None"
"224","None Specified","Reference","China","FoodDemand",2010,3.04715,"GCAM","None"
"225","None Specified","Reference","China","FoodDemand",2015,4.29247,"GCAM","None"
"226","None Specified","Reference","China","FoodDemand",2020,5.78172,"GCAM","None"
"227","None Specified","Reference","China","FoodDemand",2025,7.54611,"GCAM","None"
"228","None Specified","Reference","China","FoodDemand",2030,9.31232,"GCAM","None"
"229","None Specified","Reference","China","FoodDemand",2035,10.8986,"GCAM","None"
"230","None Specified","Reference","China","FoodDemand",2040,12.442,"GCAM","None"
"231","None Specified","Reference","China","FoodDemand",2045,13.9722,"GCAM","None"
"232","None Specified","Reference","China","FoodDemand",2050,15.4038,"GCAM","None"
"233","None Specified","Reference","China","FoodDemand",2055,16.7233,"GCAM","None"
"234","None Specified","Reference","China","FoodDemand",2060,18.0757,"GCAM","None"
"235","None Specified","Reference","China","FoodDemand",2065,19.448,"GCAM","None"
"236","None Specified","Reference","China","FoodDemand",2070,20.833,"GCAM","None"
"237","None Specified","Reference","China","FoodDemand",2075,22.1959,"GCAM","None"
"238","None Specified","Reference","China","FoodDemand",2080,23.617,"GCAM","None"
"239","None Specified","Reference","China","FoodDemand",2085,25.0432,"GCAM","None"
"240","None Specified","Reference","China","FoodDemand",2090,26.4857,"GCAM","None"
"241","None Specified","Reference","China","FoodDemand",2095,27.9317,"GCAM","None"
"242","None Specified","Reference","China","FoodDemand",2100,29.3848,"GCAM","None"
"243","None Specified","Reference","Colombia","FoodDemand",1975,2.19642,"GCAM","None"
"244","None Specified","Reference","Colombia","FoodDemand",1990,2.95034,"GCAM","None"
"245","None Specified","Reference","Colombia","FoodDemand",2005,3.55665,"GCAM","None"
"246","None Specified","Reference","Colombia","FoodDemand",2010,4.18679,"GCAM","None"
"247","None Specified","Reference","Colombia","FoodDemand",2015,4.98521,"GCAM","None"
"248","None Specified","Reference","Colombia","FoodDemand",2020,5.36691,"GCAM","None"
"249","None Specified","Reference","Colombia","FoodDemand",2025,6.08441,"GCAM","None"
"250","None Specified","Reference","Colombia","FoodDemand",2030,6.83854,"GCAM","None"
"251","None Specified","Reference","Colombia","FoodDemand",2035,7.69312,"GCAM","None"
"252","None Specified","Reference","Colombia","FoodDemand",2040,8.67053,"GCAM","None"
"253","None Specified","Reference","Colombia","FoodDemand",2045,9.75412,"GCAM","None"
"254","None Specified","Reference","Colombia","FoodDemand",2050,10.961,"GCAM","None"
"255","None Specified","Reference","Colombia","FoodDemand",2055,12.3032,"GCAM","None"
"256","None Specified","Reference","Colombia","FoodDemand",2060,13.778,"GCAM","None"
"257","None Specified","Reference","Colombia","FoodDemand",2065,15.4088,"GCAM","None"
"258","None Specified","Reference","Colombia","FoodDemand",2070,17.1866,"GCAM","None"
"259","None Specified","Reference","Colombia","FoodDemand",2075,19.1014,"GCAM","None"
"260","None Specified","Reference","Colombia","FoodDemand",2080,21.1766,"GCAM","None"
"261","None Specified","Reference","Colombia","FoodDemand",2085,23.3998,"GCAM","None"
"262","None Specified","Reference","Colombia","FoodDemand",2090,25.7454,"GCAM","None"
"263","None Specified","Reference","Colombia","FoodDemand",2095,28.2103,"GCAM","None"
"264","None Specified","Reference","Colombia","FoodDemand",2100,30.7897,"GCAM","None"
"265","None Specified","Reference","EU-12","FoodDemand",1975,3.52751,"GCAM","None"
"266","None Specified","Reference","EU-12","FoodDemand",1990,4.9308,"GCAM","None"
"267","None Specified","Reference","EU-12","FoodDemand",2005,7.0633,"GCAM","None"
"268","None Specified","Reference","EU-12","FoodDemand",2010,8.30532,"GCAM","None"
"269","None Specified","Reference","EU-12","FoodDemand",2015,9.49906,"GCAM","None"
"270","None Specified","Reference","EU-12","FoodDemand",2020,11.4684,"GCAM","None"
"271","None Specified","Reference","EU-12","FoodDemand",2025,13.1698,"GCAM","None"
"272","None Specified","Reference","EU-12","FoodDemand",2030,14.9405,"GCAM","None"
"273","None Specified","Reference","EU-12","FoodDemand",2035,16.7931,"GCAM","None"
"274","None Specified","Reference","EU-12","FoodDemand",2040,18.6535,"GCAM","None"
"275","None Specified","Reference","EU-12","FoodDemand",2045,20.4233,"GCAM","None"
"276","None Specified","Reference","EU-12","FoodDemand",2050,22.1705,"GCAM","None"
"277","None Specified","Reference","EU-12","FoodDemand",2055,23.9639,"GCAM","None"
"278","None Specified","Reference","EU-12","FoodDemand",2060,25.9809,"GCAM","None"
"279","None Specified","Reference","EU-12","FoodDemand",2065,28.2928,"GCAM","None"
"280","None Specified","Reference","EU-12","FoodDemand",2070,30.7956,"GCAM","None"
"281","None Specified","Reference","EU-12","FoodDemand",2075,33.3379,"GCAM","None"
"282","None Specified","Reference","EU-12","FoodDemand",2080,35.9101,"GCAM","None"
"283","None Specified","Reference","EU-12","FoodDemand",2085,38.5165,"GCAM","None"
"284","None Specified","Reference","EU-12","FoodDemand",2090,41.1893,"GCAM","None"
"285","None Specified","Reference","EU-12","FoodDemand",2095,43.9986,"GCAM","None"
"286","None Specified","Reference","EU-12","FoodDemand",2100,46.9915,"GCAM","None"
"287","None Specified","Reference","EU-15","FoodDemand",1975,13.4595,"GCAM","None"
"288","None Specified","Reference","EU-15","FoodDemand",1990,19.9666,"GCAM","None"
"289","None Specified","Reference","EU-15","FoodDemand",2005,25.7003,"GCAM","None"
"290","None Specified","Reference","EU-15","FoodDemand",2010,25.9933,"GCAM","None"
"291","None Specified","Reference","EU-15","FoodDemand",2015,26.8454,"GCAM","None"
"292","None Specified","Reference","EU-15","FoodDemand",2020,28.7839,"GCAM","None"
"293","None Specified","Reference","EU-15","FoodDemand",2025,30.4576,"GCAM","None"
"294","None Specified","Reference","EU-15","FoodDemand",2030,32.3248,"GCAM","None"
"295","None Specified","Reference","EU-15","FoodDemand",2035,34.3853,"GCAM","None"
"296","None Specified","Reference","EU-15","FoodDemand",2040,36.729,"GCAM","None"
"297","None Specified","Reference","EU-15","FoodDemand",2045,39.2446,"GCAM","None"
"298","None Specified","Reference","EU-15","FoodDemand",2050,41.8696,"GCAM","None"
"299","None Specified","Reference","EU-15","FoodDemand",2055,44.695,"GCAM","None"
"300","None Specified","Reference","EU-15","FoodDemand",2060,47.8573,"GCAM","None"
"301","None Specified","Reference","EU-15","FoodDemand",2065,51.3193,"GCAM","None"
"302","None Specified","Reference","EU-15","FoodDemand",2070,54.9408,"GCAM","None"
"303","None Specified","Reference","EU-15","FoodDemand",2075,58.6379,"GCAM","None"
"304","None Specified","Reference","EU-15","FoodDemand",2080,62.4865,"GCAM","None"
"305","None Specified","Reference","EU-15","FoodDemand",2085,66.5039,"GCAM","None"
"306","None Specified","Reference","EU-15","FoodDemand",2090,70.7696,"GCAM","None"
"307","None Specified","Reference","EU-15","FoodDemand",2095,75.3241,"GCAM","None"
"308","None Specified","Reference","EU-15","FoodDemand",2100,80.2015,"GCAM","None"
"309","None Specified","Reference","Europe_Eastern","FoodDemand",1975,1.75542,"GCAM","None"
"310","None Specified","Reference","Europe_Eastern","FoodDemand",1990,2.4729,"GCAM","None"
"311","None Specified","Reference","Europe_Eastern","FoodDemand",2005,1.89967,"GCAM","None"
"312","None Specified","Reference","Europe_Eastern","FoodDemand",2010,2.2141,"GCAM","None"
"313","None Specified","Reference","Europe_Eastern","FoodDemand",2015,2.13308,"GCAM","None"
"314","None Specified","Reference","Europe_Eastern","FoodDemand",2020,2.46822,"GCAM","None"
"315","None Specified","Reference","Europe_Eastern","FoodDemand",2025,2.92731,"GCAM","None"
"316","None Specified","Reference","Europe_Eastern","FoodDemand",2030,3.51448,"GCAM","None"
"317","None Specified","Reference","Europe_Eastern","FoodDemand",2035,4.1454,"GCAM","None"
"318","None Specified","Reference","Europe_Eastern","FoodDemand",2040,4.79921,"GCAM","None"
"319","None Specified","Reference","Europe_Eastern","FoodDemand",2045,5.45388,"GCAM","None"
"320","None Specified","Reference","Europe_Eastern","FoodDemand",2050,6.11073,"GCAM","None"
"321","None Specified","Reference","Europe_Eastern","FoodDemand",2055,6.82315,"GCAM","None"
"322","None Specified","Reference","Europe_Eastern","FoodDemand",2060,7.63671,"GCAM","None"
"323","None Specified","Reference","Europe_Eastern","FoodDemand",2065,8.54558,"GCAM","None"
"324","None Specified","Reference","Europe_Eastern","FoodDemand",2070,9.4974,"GCAM","None"
"325","None Specified","Reference","Europe_Eastern","FoodDemand",2075,10.4493,"GCAM","None"
"326","None Specified","Reference","Europe_Eastern","FoodDemand",2080,11.4205,"GCAM","None"
"327","None Specified","Reference","Europe_Eastern","FoodDemand",2085,12.4312,"GCAM","None"
"328","None Specified","Reference","Europe_Eastern","FoodDemand",2090,13.4927,"GCAM","None"
"329","None Specified","Reference","Europe_Eastern","FoodDemand",2095,14.6039,"GCAM","None"
