"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"65","None Specified","Reference","Africa_Southern","FoodDemand",2095,397271,"GCAM","None"
"66","None Specified","Reference","Africa_Southern","FoodDemand",2100,400909,"GCAM","None"
"67","None Specified","Reference","Africa_Western","FoodDemand",1975,159160,"GCAM","None"
"68","None Specified","Reference","Africa_Western","FoodDemand",1990,239535,"GCAM","None"
"69","None Specified","Reference","Africa_Western","FoodDemand",2005,360464,"GCAM","None"
"70","None Specified","Reference","Africa_Western","FoodDemand",2010,415301,"GCAM","None"
"71","None Specified","Reference","Africa_Western","FoodDemand",2015,478031,"GCAM","None"
"72","None Specified","Reference","Africa_Western","FoodDemand",2020,537465,"GCAM","None"
"73","None Specified","Reference","Africa_Western","FoodDemand",2025,599748,"GCAM","None"
"74","None Specified","Reference","Africa_Western","FoodDemand",2030,664116,"GCAM","None"
"75","None Specified","Reference","Africa_Western","FoodDemand",2035,729808,"GCAM","None"
"76","None Specified","Reference","Africa_Western","FoodDemand",2040,795629,"GCAM","None"
"77","None Specified","Reference","Africa_Western","FoodDemand",2045,860599,"GCAM","None"
"78","None Specified","Reference","Africa_Western","FoodDemand",2050,924076,"GCAM","None"
"79","None Specified","Reference","Africa_Western","FoodDemand",2055,982617,"GCAM","None"
"80","None Specified","Reference","Africa_Western","FoodDemand",2060,1036430,"GCAM","None"
"81","None Specified","Reference","Africa_Western","FoodDemand",2065,1086770,"GCAM","None"
"82","None Specified","Reference","Africa_Western","FoodDemand",2070,1133100,"GCAM","None"
"83","None Specified","Reference","Africa_Western","FoodDemand",2075,1174800,"GCAM","None"
"84","None Specified","Reference","Africa_Western","FoodDemand",2080,1211620,"GCAM","None"
"85","None Specified","Reference","Africa_Western","FoodDemand",2085,1243150,"GCAM","None"
"86","None Specified","Reference","Africa_Western","FoodDemand",2090,1269550,"GCAM","None"
"87","None Specified","Reference","Africa_Western","FoodDemand",2095,1291420,"GCAM","None"
"88","None Specified","Reference","Africa_Western","FoodDemand",2100,1309180,"GCAM","None"
"89","None Specified","Reference","Argentina","FoodDemand",1975,25866,"GCAM","None"
"90","None Specified","Reference","Argentina","FoodDemand",1990,32619,"GCAM","None"
"91","None Specified","Reference","Argentina","FoodDemand",2005,38893,"GCAM","None"
"92","None Specified","Reference","Argentina","FoodDemand",2010,40896,"GCAM","None"
"93","None Specified","Reference","Argentina","FoodDemand",2015,43075,"GCAM","None"
"94","None Specified","Reference","Argentina","FoodDemand",2020,44637,"GCAM","None"
"95","None Specified","Reference","Argentina","FoodDemand",2025,46040,"GCAM","None"
"96","None Specified","Reference","Argentina","FoodDemand",2030,47286,"GCAM","None"
"97","None Specified","Reference","Argentina","FoodDemand",2035,48376,"GCAM","None"
"98","None Specified","Reference","Argentina","FoodDemand",2040,49321,"GCAM","None"
"99","None Specified","Reference","Argentina","FoodDemand",2045,50052,"GCAM","None"
"100","None Specified","Reference","Argentina","FoodDemand",2050,50587,"GCAM","None"
"101","None Specified","Reference","Argentina","FoodDemand",2055,50920,"GCAM","None"
"102","None Specified","Reference","Argentina","FoodDemand",2060,51055,"GCAM","None"
"103","None Specified","Reference","Argentina","FoodDemand",2065,51051,"GCAM","None"
"104","None Specified","Reference","Argentina","FoodDemand",2070,50881,"GCAM","None"
"105","None Specified","Reference","Argentina","FoodDemand",2075,50559,"GCAM","None"
"106","None Specified","Reference","Argentina","FoodDemand",2080,50101,"GCAM","None"
"107","None Specified","Reference","Argentina","FoodDemand",2085,49577,"GCAM","None"
"108","None Specified","Reference","Argentina","FoodDemand",2090,49002,"GCAM","None"
"109","None Specified","Reference","Argentina","FoodDemand",2095,48379,"GCAM","None"
"110","None Specified","Reference","Argentina","FoodDemand",2100,47716,"GCAM","None"
"111","None Specified","Reference","Australia_NZ","FoodDemand",1975,16856,"GCAM","None"
"112","None Specified","Reference","Australia_NZ","FoodDemand",1990,20359,"GCAM","None"
"113","None Specified","Reference","Australia_NZ","FoodDemand",2005,24314,"GCAM","None"
"114","None Specified","Reference","Australia_NZ","FoodDemand",2010,26525,"GCAM","None"
"115","None Specified","Reference","Australia_NZ","FoodDemand",2015,28547,"GCAM","None"
"116","None Specified","Reference","Australia_NZ","FoodDemand",2020,30619,"GCAM","None"
"117","None Specified","Reference","Australia_NZ","FoodDemand",2025,32663,"GCAM","None"
"118","None Specified","Reference","Australia_NZ","FoodDemand",2030,34591,"GCAM","None"
"119","None Specified","Reference","Australia_NZ","FoodDemand",2035,36424,"GCAM","None"
"120","None Specified","Reference","Australia_NZ","FoodDemand",2040,38212,"GCAM","None"
"121","None Specified","Reference","Australia_NZ","FoodDemand",2045,39967,"GCAM","None"
"122","None Specified","Reference","Australia_NZ","FoodDemand",2050,41667,"GCAM","None"
"123","None Specified","Reference","Australia_NZ","FoodDemand",2055,43281,"GCAM","None"
"124","None Specified","Reference","Australia_NZ","FoodDemand",2060,44784,"GCAM","None"
"125","None Specified","Reference","Australia_NZ","FoodDemand",2065,46069,"GCAM","None"
"126","None Specified","Reference","Australia_NZ","FoodDemand",2070,47145,"GCAM","None"
"127","None Specified","Reference","Australia_NZ","FoodDemand",2075,48016,"GCAM","None"
"128","None Specified","Reference","Australia_NZ","FoodDemand",2080,48667,"GCAM","None"
"129","None Specified","Reference","Australia_NZ","FoodDemand",2085,49082,"GCAM","None"
"130","None Specified","Reference","Australia_NZ","FoodDemand",2090,49233,"GCAM","None"
"131","None Specified","Reference","Australia_NZ","FoodDemand",2095,49103,"GCAM","None"
"132","None Specified","Reference","Australia_NZ","FoodDemand",2100,48725,"GCAM","None"
"133","None Specified","Reference","Brazil","FoodDemand",1975,107216,"GCAM","None"
"134","None Specified","Reference","Brazil","FoodDemand",1990,149003,"GCAM","None"
"135","None Specified","Reference","Brazil","FoodDemand",2005,186127,"GCAM","None"
"136","None Specified","Reference","Brazil","FoodDemand",2010,195714,"GCAM","None"
"137","None Specified","Reference","Brazil","FoodDemand",2015,204472,"GCAM","None"
