"","L106.income_distributions.region","L106.income_distributions.gcam.consumer","L106.income_distributions.subregional.population.share","L106.income_distributions.subregional.income.share","L106.income_distributions.year"
"165","India","d6",0.1,0.077091602,1975
"166","Africa_Eastern","d2",0.1,0.030999942,2030
"167","Africa_Western","d5",0.1,0.046106858,1975
"168","Central Asia","d1",0.1,0.01067727,2015
"169","Colombia","d2",0.1,0.016433129,1975
"170","South Asia","d1",0.1,0.02001743,2030
"171","Africa_Southern","d6",0.1,0.048031333,1990
"172","Africa_Western","d5",0.1,0.045018619,1990
"173","India","d2",0.1,0.013165333,2025
"174","Africa_Eastern","d6",0.1,0.064250099,1975
"175","South Asia","d4",0.1,0.061480904,1990
"176","China","d4",0.1,0.072915907,1975
"177","Africa_Southern","d4",0.1,0.033425092,2010
"178","Africa_Western","d4",0.1,0.036409921,2005
"179","Southeast Asia","d3",0.1,0.035813535,1975
"180","Africa_Eastern","d3",0.1,0.040185473,2025
"181","Africa_Western","d2",0.1,0.022415481,2030
"182","India","d2",0.1,0.051897959,1990
"183","China","d4",0.1,0.062355962,1990
"184","Africa_Eastern","d6",0.1,0.05727461,2005
"185","Africa_Western","d3",0.1,0.034182665,2020
"186","India","d1",0.1,0.003247938,2070
"187","Africa_Eastern","d5",0.1,0.051938952,2010
"188","South Asia","d3",0.1,0.044197722,2005
"189","South Africa","d2",0.1,0.00840084,2010
"190","South Asia","d2",0.1,0.032724435,2020
"191","South Africa","d1",0.1,0.004502006,2035
"192","Africa_Southern","d4",0.1,0.03406748,2015
"193","South Asia","d6",0.1,0.078953836,1975
"194","Africa_Southern","d6",0.1,0.05249087,1975
"195","Colombia","d1",0.1,0.013604166,1990
"196","Colombia","d1",0.1,0.011095007,2005
"197","Central America and Caribbean","d2",0.1,0.018892393,1990
"198","Africa_Eastern","d4",0.1,0.051183855,2020
"199","South Asia","d2",0.1,0.036372707,2010
"200","Africa_Eastern","d5",0.1,0.053430855,2015
"201","Southeast Asia","d1",0.1,0.011495547,2010
"202","Africa_Southern","d3",0.1,0.026871926,2030
"203","Africa_Southern","d5",0.1,0.043130578,2005
"204","Pakistan","d1",0.1,0.032622648,2020
"205","Central America and Caribbean","d1",0.1,0.008279733,2035
"206","South Asia","d2",0.1,0.035197794,2015
"207","Africa_Eastern","d1",0.1,0.018979785,2045
"208","India","d2",0.1,0.011984246,2030
"209","China","d5",0.1,0.082188291,1975
"210","Africa_Western","d4",0.1,0.034606966,2010
"211","South Asia","d5",0.1,0.069630462,1990
"212","Central America and Caribbean","d2",0.1,0.017395794,2005
"213","South America_Northern","d1",0.1,0.007450428,2005
"214","Colombia","d1",0.1,0.009969658,2010
"215","Central America and Caribbean","d2",0.1,0.021311596,1975
"216","Indonesia","d2",0.1,0.041194619,1975
"217","India","d7",0.1,0.092234072,1975
"218","Pakistan","d3",0.1,0.05710288,1975
"219","Africa_Western","d4",0.1,0.035253584,2015
"220","South Asia","d1",0.1,0.019749122,2035
"221","Southeast Asia","d1",0.1,0.013113093,2020
"222","Africa_Southern","d2",0.1,0.021677725,2040
"223","South Africa","d1",0.1,0.004521858,2040
"224","China","d5",0.1,0.071561216,1990
"225","Africa_Southern","d4",0.1,0.033619535,2025
"226","Africa_Western","d1",0.1,0.014577232,2045
"227","Africa_Southern","d1",0.1,0.012734258,2055
"228","India","d2",0.1,0.02401826,2015
"229","Africa_Eastern","d2",0.1,0.031679977,2035
"230","South America_Southern","d2",0.1,0.019229273,1975
"231","South Asia","d4",0.1,0.051635992,2005
"232","Pakistan","d1",0.1,0.030379467,2005
"233","Pakistan","d2",0.1,0.038796544,1990
"234","Africa_Eastern","d6",0.1,0.061794489,2010
"235","India","d3",0.1,0.062343854,1990
"236","Africa_Eastern","d7",0.1,0.080492518,1975
"237","Africa_Southern","d5",0.1,0.040246481,2020
"238","Central America and Caribbean","d2",0.1,0.017255862,2010
"239","South Asia","d7",0.1,0.094199936,1975
"240","Africa_Eastern","d7",0.1,0.07606277,1990
"241","China","d6",0.1,0.092182456,1975
"242","Africa_Western","d3",0.1,0.033866752,2025
"243","China","d1",0.1,0.021129333,2005
"244","South Asia","d2",0.1,0.031669094,2025
"245","Africa_Eastern","d3",0.1,0.040758746,2030
"246","India","d3",0.1,0.03520352,2005
"247","Africa_Western","d2",0.1,0.022896378,2035
"248","Southeast Asia","d4",0.1,0.044754129,1975
